EID,SR,com,com2
2-s2.0-0034341743,"Shane S & Venkataraman S, (2000) Academy of Management Review",7,1
2-s2.0-0037413654,"Root T et al., (2003) Nature",6,2
2-s2.0-33746208456,"Folke C, (2006) Global Environmental Change",3,2
2-s2.0-0000834621,"Etzkowitz H & Leydesdorff L, (2000) Research Policy",1,1
2-s2.0-0034416232,"Orlikowski W, (2000) Organization Science",5,1
2-s2.0-31944450165,"Laursen K & Salter A, (2006) Strategic Management Journal",1,2
2-s2.0-14644418478,"Boschma R, (2005) Regional Studies",4,4
2-s2.0-0347503054,"Bathelt H et al., (2004) Progress in Human Geography",4,1
2-s2.0-0034394879,"Shane S, (2000) Organization Science",1,3
2-s2.0-31244436673,"Geels F, (2002) Research Policy",2,4
2-s2.0-0037391031,"Benner M & Tushman M, (2003) Academy of Management Review",1,2
2-s2.0-0034386789,"Porter M, (2000) Economic Development Quarterly",4,1
2-s2.0-0035532008,"Sarasvathy S, (2001) Academy of Management Review",7,3
2-s2.0-0036464975,"Garcia R & Calantone R, (2002) Journal of Product Innovation Management",1,2
2-s2.0-0035874457,"Enfield D et al., (2001) Geophysical Research Letters",6,2
2-s2.0-33947218831,"Geels F & Schot J, (2007) Research Policy",2,4
2-s2.0-84921980347,"Fischer F, (2003) Reframing Public Policy: Discursive Politics an...",3,1
2-s2.0-0033542411,"Parmesan C et al., (1999) Nature",NA,NA
2-s2.0-1942479042,"Rochet J & Tirole J, (2003) Journal of the European Economic Association",1,4
2-s2.0-0032903443,"Maskell P & Malmberg A, (1999) Cambridge Journal of Economics",1,1
2-s2.0-3242884803,"Geels F, (2004) Research Policy",2,2
2-s2.0-0001513530,"Kemp R et al., (1998) Technology Analysis and Strategic Management",1,3
2-s2.0-0000825387,"Rosenkopf L & Nerkar A, (2001) Strategic Management Journal",1,2
2-s2.0-33845460157,"Warde A, (2005) Journal of Consumer Culture",5,1
2-s2.0-0036746466,"Tsoukas H & Chia R, (2002) Organization Science",7,2
2-s2.0-32844463631,"Baker T & Nelson R, (2005) Administrative Science Quarterly",7,3
2-s2.0-78651520429,"Folke C et al., (2010) Ecology and Society",3,2
